,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,01-01-2021,Germany,2021-01-02 05:22:33,52.52,13.405,97649,1277,78947.0,17425.0,"Berlin, Germany",2679.112802641333,1.3077450869952585
1,01-02-2021,Germany,2021-01-03 05:22:52,52.52,13.405,98109,1285,79296.0,17528.0,"Berlin, Germany",2691.733432542459,1.3097677073459109
2,01-03-2021,Germany,2021-01-04 05:22:02,52.52,13.405,98765,1305,80457.0,17003.0,"Berlin, Germany",2709.731548227542,1.3213182807674784
3,01-04-2021,Germany,2021-01-05 05:21:49,52.52,13.405,99536,1327,81536.0,16673.0,"Berlin, Germany",2730.8848213879073,1.3331859829609387
4,01-05-2021,Germany,2021-01-06 05:22:16,52.52,13.405,100771,1390,82837.0,16544.0,"Berlin, Germany",2764.7684690572332,1.3793650951166507
5,01-06-2021,Germany,2021-01-07 05:22:03,52.52,13.405,102077,1445,84112.0,16520.0,"Berlin, Germany",2800.6000835156465,1.4155980289389385
6,01-07-2021,Germany,2021-01-08 05:22:42,52.52,13.405,103646,1487,85203.0,16956.0,"Berlin, Germany",2843.647405939269,1.4346911602956216
7,01-08-2021,Germany,2021-01-09 05:22:18,52.52,13.405,105125,1547,86037.0,17541.0,"Berlin, Germany",2884.2254746865833,1.4715814506539833
8,01-09-2021,Germany,2021-01-10 05:22:12,52.52,13.405,105857,1560,86643.0,17654.0,"Berlin, Germany",2904.308737920548,1.4736861993066117
9,01-10-2021,Germany,2021-01-11 05:21:50,52.52,13.405,106197,1565,88003.0,16629.0,"Berlin, Germany",2913.6370295865972,1.4736762808742243
10,01-11-2021,Germany,2021-01-12 05:22:15,52.52,13.405,107233,1591,89036.0,16606.0,"Berlin, Germany",2942.060883016089,1.4836850596364926
11,01-12-2021,Germany,2021-01-13 05:22:15,52.52,13.405,108303,1635,90530.0,16138.0,"Berlin, Germany",2971.4175656121856,1.509653472202986
12,01-13-2021,Germany,2021-01-14 05:22:32,52.52,13.405,109569,1711,91830.0,16028.0,"Berlin, Germany",3006.1517339922398,1.5615730726756656
13,01-14-2021,Germany,2021-01-15 05:22:24,52.52,13.405,110747,1755,93003.0,15989.0,"Berlin, Germany",3038.471520999905,1.584693039089095
14,01-15-2021,Germany,2021-01-16 05:22:40,52.52,13.405,111737,1800,93262.0,16675.0,"Berlin, Germany",3065.633311439284,1.6109256557809857
15,01-16-2021,Germany,2021-01-17 05:22:17,52.52,13.405,112232,1822,93823.0,16587.0,"Berlin, Germany",3079.2142066589736,1.6234229096870767
16,01-17-2021,Germany,2021-01-18 05:22:34,52.52,13.405,112516,1833,95600.0,15083.0,"Berlin, Germany",3087.006073815321,1.6291016388780262
17,01-18-2021,Germany,2021-01-19 05:22:15,52.52,13.405,113060,1860,95722.0,15478.0,"Berlin, Germany",3101.9313404809996,1.6451441712365116
18,01-19-2021,Germany,2021-01-20 05:21:54,52.52,13.405,113884,1918,98093.0,13873.0,"Berlin, Germany",3124.53872969519,1.684169857047522
19,01-20-2021,Germany,2021-01-21 05:22:01,52.52,13.405,114616,1957,99001.0,13658.0,"Berlin, Germany",3144.621992929155,1.7074404969637746
20,01-21-2021,Germany,2021-01-22 05:22:10,52.52,13.405,115517,1996,99675.0,13846.0,"Berlin, Germany",3169.341965844186,1.7278842075192395
21,01-22-2021,Germany,2021-01-23 05:22:03,52.52,13.405,116132,2021,100596.0,13515.0,"Berlin, Germany",3186.215199298952,1.740261082216788
22,01-23-2021,Germany,2021-01-24 05:22:35,52.52,13.405,116595,2039,101197.0,13359.0,"Berlin, Germany",3198.918137655954,1.7487885415326558
23,01-24-2021,Germany,2021-01-25 05:22:16,52.52,13.405,116755,2040,102085.0,12630.0,"Berlin, Germany",3203.307921969389,1.7472485118410346
24,01-25-2021,Germany,2021-01-26 05:22:02,52.52,13.405,117124,2067,102879.0,12178.0,"Berlin, Germany",3213.4318620422478,1.7647962842799083
25,01-26-2021,Germany,2021-01-27 05:23:41,52.52,13.405,117557,2101,103721.0,11735.0,"Berlin, Germany",3225.3117158404816,1.7872181154673903
